pattern_id,class_id,count,delivery_offset_s
P000304,C017,1,1678.7589204409082
P000305,C002,1,2145.979848937725
P000305,C004,1,2145.979848937725
P000305,C017,1,1373.6263671531592
P000306,C002,1,939.3587719896758
P000306,C003,1,939.3587719896758
P000306,C017,1,1678.7589204409082
P000307,C002,1,2145.979848937725
P000307,C003,1,2145.979848937725
P000307,C017,1,1373.6263671531592
P000308,C001,1,879.3587719896758
P000308,C021,1,1618.7589204409082
P000309,C001,1,2085.979848937725
P000309,C021,1,1343.6263671531592
P000310,C001,1,879.3587719896758
P000310,C020,1,1618.7589204409082
P000311,C001,1,2085.979848937725
P000311,C020,1,1343.6263671531592
P000312,C001,1,879.3587719896758
P000312,C019,1,1618.7589204409082
P000313,C001,1,2085.979848937725
P000313,C019,1,1343.6263671531592
P000314,C001,1,879.3587719896758
P000314,C018,1,1618.7589204409082
P000315,C001,1,2085.979848937725
P000315,C018,1,1343.6263671531592
