task_id,tau,x,y,z,phase,node
R000001,695.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,705.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,715.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,725.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,735.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,745.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,755.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,765.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,775.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,785.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,795.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,805.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,815.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,825.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,835.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,845.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,855.684711931082,109.2432319,23.0335927,184.0,climb,S001
R000001,865.684711931082,109.2432319,23.0335927,214.0,climb,S001
R000001,875.684711931082,109.2432319,23.0335927,244.0,climb,S001
R000001,876.6032859463814,109.2432319,23.0335927,246.75572204589844,cruise,
R000001,886.6032859463814,109.2427469419275,23.03261013911053,246.75572204589844,cruise,
R000001,896.6032859463814,109.24226198385503,23.031627578221062,246.75572204589844,cruise,
R000001,906.6032859463814,109.24177702578254,23.030645017331594,246.75572204589844,cruise,
R000001,916.6032859463814,109.24129206771005,23.029662456442125,246.75572204589844,cruise,
R000001,926.6032859463814,109.24080710963756,23.028679895552656,246.75572204589844,cruise,
R000001,936.6032859463814,109.24032215156508,23.027697334663188,246.75572204589844,cruise,
R000001,946.6032859463814,109.23983719349259,23.02671477377372,246.75572204589844,cruise,
R000001,956.6032859463814,109.2393522354201,23.02573221288425,246.75572204589844,cruise,
R000001,966.6032859463814,109.23886727734762,23.02474965199478,246.75572204589844,cruise,
R000001,976.6032859463814,109.23838231927513,23.023767091105313,246.75572204589844,cruise,
R000001,986.6032859463814,109.23789736120264,23.022784530215844,246.75572204589844,cruise,
R000001,996.6032859463814,109.23741240313016,23.021801969326376,246.75572204589844,cruise,
R000001,1006.6032859463814,109.23692744505767,23.020819408436907,246.75572204589844,cruise,
R000001,1016.6032859463814,109.23644248698518,23.019836847547438,246.75572204589844,cruise,
R000001,1026.6032859463814,109.23595752891269,23.01885428665797,246.75572204589844,cruise,
R000001,1036.6032859463814,109.23547257084022,23.0178717257685,246.75572204589844,cruise,
R000001,1046.6032859463814,109.23498761276772,23.016889164879032,246.75572204589844,cruise,
R000001,1056.6032859463814,109.23450265469523,23.015906603989563,246.75572204589844,cruise,
R000001,1066.6032859463814,109.23401769662276,23.014924043100095,246.75572204589844,cruise,
R000001,1076.6032859463814,109.23353273855027,23.013941482210626,246.75572204589844,cruise,
R000001,1086.6032859463814,109.23304778047778,23.012958921321157,246.75572204589844,cruise,
R000001,1096.6032859463814,109.2325628224053,23.01197636043169,246.75572204589844,cruise,
R000001,1106.6032859463814,109.23207786433281,23.01099379954222,246.75572204589844,cruise,
R000001,1116.6032859463814,109.23159290626032,23.010011238652748,246.75572204589844,cruise,
R000001,1126.6032859463814,109.23110794818783,23.00902867776328,246.75572204589844,cruise,
R000001,1131.887210523948,109.2308517,23.0085095,246.75572204589844,descend,O01
R000001,1141.887210523948,109.2308517,23.0085095,221.75572204589844,descend,O01
R000001,1151.887210523948,109.2308517,23.0085095,196.75572204589844,descend,O01
R000001,1161.887210523948,109.2308517,23.0085095,171.75572204589844,descend,O01
R000001,1171.887210523948,109.2308517,23.0085095,146.75572204589844,descend,O01
R000001,1179.5094993423072,109.2308517,23.0085095,127.7,descend,O01
R000002,0.0,109.2308517,23.0085095,127.7,setup,O01
R000002,10.0,109.2308517,23.0085095,127.7,setup,O01
R000002,20.0,109.2308517,23.0085095,127.7,setup,O01
R000002,30.0,109.2308517,23.0085095,127.7,setup,O01
R000002,40.0,109.2308517,23.0085095,127.7,setup,O01
R000002,50.0,109.2308517,23.0085095,127.7,setup,O01
R000002,60.0,109.2308517,23.0085095,127.7,setup,O01
R000002,70.0,109.2308517,23.0085095,127.7,setup,O01
R000002,80.0,109.2308517,23.0085095,127.7,setup,O01
R000002,90.0,109.2308517,23.0085095,127.7,setup,O01
R000002,100.0,109.2308517,23.0085095,127.7,setup,O01
R000002,110.0,109.2308517,23.0085095,127.7,setup,O01
R000002,120.0,109.2308517,23.0085095,127.7,setup,O01
R000002,130.0,109.2308517,23.0085095,127.7,setup,O01
R000002,140.0,109.2308517,23.0085095,127.7,setup,O01
R000002,150.0,109.2308517,23.0085095,127.7,setup,O01
R000002,160.0,109.2308517,23.0085095,127.7,setup,O01
R000002,170.0,109.2308517,23.0085095,127.7,setup,O01
R000002,180.0,109.2308517,23.0085095,127.7,setup,O01
R000002,190.0,109.2308517,23.0085095,127.7,setup,O01
R000002,200.0,109.2308517,23.0085095,127.7,setup,O01
R000002,210.0,109.2308517,23.0085095,127.7,setup,O01
R000002,220.0,109.2308517,23.0085095,127.7,setup,O01
R000002,230.0,109.2308517,23.0085095,127.7,setup,O01
