task_id,uav_type,n_stops,visit_order,duration_s,energy_kWh,latest_start_s,direct_time_s,outage_time_s,outage_ratio,gap_count,max_gap_s,min_margin_db,needs_relay
R000172,B,1,S004,1985.7710095479192,2.8822655586744954,5895.5,1274.7721714406262,710.9988381072931,0.35804674088235333,1,710.9988381072931,-5.839925593266557,1
R000173,B,1,S005,1459.0243444118548,1.6307770391235858,,1099.1888388725943,359.8355055392607,0.24662748563274553,1,359.8355055392607,-2.547971547580076,1
R000174,B,1,S005,1459.0243444118548,1.6495943457631383,,1099.1888388725943,359.8355055392607,0.24662748563274553,1,359.8355055392607,-2.547971547580076,1
R000175,B,1,S005,1519.024344411855,1.7264627652277489,,1129.1888388725943,389.8355055392609,0.2566354561553783,1,389.8355055392609,-2.547971547580076,1
R000176,B,1,S005,1459.0243444118548,1.7264627652277489,9817.7,1099.1888388725943,359.8355055392607,0.24662748563274553,1,359.8355055392607,-2.547971547580076,1
R000177,B,1,S005,1519.024344411855,1.8415740398580562,9757.7,1129.1888388725943,389.8355055392609,0.2566354561553783,1,389.8355055392609,-2.547971547580076,1
R000178,B,1,S005,1519.024344411855,1.8915405294713898,9757.7,1129.1888388725943,389.8355055392609,0.2566354561553783,1,389.8355055392609,-2.547971547580076,1
R000179,B,1,S005,1519.024344411855,2.0941785211089887,9757.7,1129.1888388725943,389.8355055392609,0.2566354561553783,1,389.8355055392609,-2.547971547580076,1
R000180,B,1,S005,1459.0243444118548,1.6087354449980982,9817.7,1099.1888388725943,359.8355055392607,0.24662748563274553,1,359.8355055392607,-2.547971547580076,1
R000181,B,1,S005,1519.024344411855,1.660221800349294,9757.7,1129.1888388725943,389.8355055392609,0.2566354561553783,1,389.8355055392609,-2.547971547580076,1
R000182,B,1,S005,1519.024344411855,1.683998155030607,9757.7,1129.1888388725943,389.8355055392609,0.2566354561553783,1,389.8355055392609,-2.547971547580076,1
