pattern_id,uav_type,n_stops,visit_order,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,has_hard_deadline,latest_start_s
P017749,C,2,S009>S005,4,39.0,0.094,4.856022020005231,2222.806160002946,0.39299724749934617,True,9648.662479633653
P017750,C,2,S005>S009,5,53.0,0.121,5.127969423987721,2288.806160002946,0.3590038220015349,True,9000.761360363402
P017751,C,2,S009>S005,5,53.0,0.121,5.1901047644099725,2288.806160002946,0.35123690444875344,True,9582.662479633653
P017752,C,2,S005>S009,2,28.0,0.054,4.588249571545346,2090.806160002946,0.4264688035568317,True,9198.761360363402
P017753,C,2,S009>S005,2,28.0,0.054,4.599120879505087,2090.806160002946,0.42510989006186417,True,9214.58116031496
P017754,C,2,S005>S009,2,22.0,0.055,4.493233708911049,2090.806160002946,0.4383457863861189,True,9725.342679682093
P017755,C,2,S009>S005,2,22.0,0.055,4.5226456616482285,2090.806160002946,0.43466929229397144,True,9214.58116031496
P017756,C,2,S005>S009,3,36.0,0.082,4.746422833894602,2156.806160002946,0.40669714576317473,True,9132.761360363402
P017757,C,2,S009>S005,3,36.0,0.082,4.724938194018494,2156.806160002946,0.4093827257476883,True,9148.58116031496
P017758,C,2,S005>S009,2,17.0,0.039,4.42887324909286,2090.806160002946,0.44639084386339245,True,9198.761360363402
P017759,C,2,S009>S005,2,17.0,0.039,4.4693189589802,2090.806160002946,0.44133513012747505,True,9214.58116031496
P017760,C,2,S005>S009,3,31.0,0.066,4.643149990438921,2156.806160002946,0.41960625119513484,True,9132.761360363402
P017761,C,2,S009>S005,3,31.0,0.066,4.642887015326534,2156.806160002946,0.4196391230841833,True,9148.58116031496
P017762,C,2,S005>S009,3,25.0,0.067,4.538327005066304,2156.806160002946,0.43270912436671205,True,9132.761360363402
P017763,C,2,S009>S005,3,25.0,0.067,4.559112376480554,2156.806160002946,0.43011095293993074,True,9148.58116031496
P017764,C,2,S005>S009,4,39.0,0.094,4.816041387285246,2222.806160002946,0.39799482658934426,True,9066.761360363402
P017765,C,2,S009>S005,4,39.0,0.094,4.7802002793614475,2222.806160002946,0.40247496507981906,True,9082.58116031496
P017766,C,2,S005>S009,2,20.0,0.062,4.495244858289203,2090.806160002946,0.43809439271384965,True,9198.761360363402
P017767,C,2,S009>S005,2,20.0,0.062,4.4718732051922485,2090.806160002946,0.44101584935096894,True,9744.662479633653
P017768,C,2,S005>S009,2,14.0,0.063,4.41681872147703,2090.806160002946,0.4478976598153712,False,inf
P017769,C,2,S009>S005,2,14.0,0.063,4.413303935698978,2090.806160002946,0.44833700803762777,False,inf
P017770,C,2,S005>S009,3,28.0,0.09,4.628480957764252,2156.806160002946,0.42143988027946855,True,9132.761360363402
P017771,C,2,S009>S005,3,28.0,0.09,4.570774851806887,2156.806160002946,0.4286531435241391,True,9678.662479633653
P017772,C,2,S005>S009,2,9.0,0.047,4.365849426277282,2090.806160002946,0.4542688217153398,True,9198.761360363402
P017773,C,2,S009>S005,2,9.0,0.047,4.374430847560631,2090.806160002946,0.45319614405492115,True,9744.662479633653
P017774,C,2,S005>S009,3,23.0,0.07400000000000001,4.541281998046071,2156.806160002946,0.4323397502442411,True,9132.761360363402
P017775,C,2,S009>S005,3,23.0,0.07400000000000001,4.506072852678954,2156.806160002946,0.4367408934151308,True,9678.662479633653
P017776,C,2,S005>S009,3,17.0,0.07500000000000001,4.4537609972427274,2156.806160002946,0.44327987534465907,True,9132.761360363402
P017777,C,2,S009>S005,3,17.0,0.07500000000000001,4.440972931282,2156.806160002946,0.44487838358974996,True,9678.662479633653
P017778,C,2,S005>S009,4,31.0,0.10200000000000001,4.687448600811905,2222.806160002946,0.4140689248985119,True,9066.761360363402
P017779,C,2,S009>S005,4,31.0,0.10200000000000001,4.6145409876283345,2222.806160002946,0.4231823765464582,True,9612.662479633653
P017780,C,2,S005>S009,5,62.0,0.143,5.35646666134058,2288.806160002946,0.3304416673324275,True,9000.761360363402
P017781,C,2,S009>S005,5,62.0,0.143,5.677484067588527,2288.806160002946,0.2903144915514341,True,9016.58116031496
